Account,Product,Period,Price
Rocketonbi,Almond Milk,3/31/2014,12.37
Guantownta,Pacifier,4/13/2014,11.32
Mettertbe,Orange Punch,3/4/2014,7.94
Nationtr,Saxophone Reed,2/4/2014,5.86
Acidyles,Slingshot,2/20/2014,4.86
Prelaym,Almond Milk,2/1/2014,9.20
Doblanepm,Squishee,4/3/2014,3.01
MonBoost,Barley,1/25/2014,10.90
Loverabbit,Slingshot,3/9/2014,5.28
Pathbaud,Pacifier,2/26/2014,5.62
BizarrePinch,Orange Punch,1/23/2014,3.09
Crandivx,Barley,4/28/2014,3.72
Mubarnet,Snow Plow,4/17/2014,11.92
Nanosill,Snow Plow,2/24/2014,12.04
Farercashop,Almond Milk,4/3/2014,4.54
Apenguinda,Squishee,4/8/2014,8.69
Daranter,Hot Dog,4/29/2014,12.84
Careampa,Almond Milk,1/7/2014,4.63
Pyranka,Orange Punch,2/20/2014,11.16
Finaldelu,Slingshot,1/16/2014,3.82
BauerCheese,Barley,3/14/2014,3.27
Okcupercl,Pacifier,4/29/2014,8.71
ArsenalKino,Krusty-Os,3/17/2014,3.99
Nanosill,Pacifier,2/4/2014,9.98
CutieSpecials,Barley,2/16/2014,6.43
Kampenta,Almond Milk,1/20/2014,11.71
BrainyZollo,Flower Bouquet,4/16/2014,5.57
Recipecide,Pacifier,4/19/2014,11.88
Bridgec,Bowling Ball,4/5/2014,12.84
Mesorock,Snow Plow,1/25/2014,3.84
Clownwean,Hot Dog,3/24/2014,4.35
Boxwoodet,Left-handed Scissors,1/4/2014,9.02
Medyneph,Almond Milk,2/25/2014,10.12
Animorror,Devil Donut,3/31/2014,9.17
Namedstore,Saxophone Reed,3/2/2014,8.25
MonBoost,Snow Plow,2/22/2014,6.72
BauerCheese,Pacifier,3/18/2014,4.43
GuyFarerCake,Squishee,3/2/2014,7.31
Janionon,Barley,4/20/2014,9.15
GossipNight,Slingshot,2/20/2014,8.60
Colictor,Flower Bouquet,2/25/2014,12.43
Fallsbergen,Saxophone Reed,1/2/2014,12.42
PoetTear,Flower Bouquet,2/1/2014,12.46
Richisulse,Krusty-Os,2/12/2014,12.22
Buddyanaphe,Buzz Cola,1/15/2014,12.01
Reenaca,Squishee,4/9/2014,3.25
CatHorray,Almond Milk,4/12/2014,9.38
Eitelpali,Pacifier,4/7/2014,6.71
Meadomark,Flower Bouquet,1/11/2014,10.10
MagazineMercy,Pacifier,2/9/2014,4.13
Gerystat,Saxophone Reed,2/3/2014,10.67
Perustima,Saxophone Reed,2/9/2014,10.88
MyheroCurious,Snow Plow,1/1/2014,8.67
Octalogi,Barley,2/1/2014,9.90
FreexCasual,Bowling Ball,3/30/2014,5.07
NayborRun,Flower Bouquet,2/14/2014,6.76
Adminte,Pacifier,4/29/2014,4.29
BoaFairy,Hot Dog,1/28/2014,5.82
Solidlynnet,Barley,2/6/2014,12.64
Palecto,Hot Dog,3/18/2014,5.81
CheeseSunset,Squishee,4/22/2014,8.59
Pooleachou,Left-handed Scissors,4/5/2014,7.20
Lyndatage,Bowling Ball,4/20/2014,10.23
NozyGiga,Flower Bouquet,2/16/2014,12.07
ListHaro,Slingshot,4/12/2014,10.50
GloryPsychBuddy,Orange Punch,2/5/2014,7.19
Adminte,Barley,3/18/2014,5.42
MundeLogicLittle,Buzz Cola,1/6/2014,9.40
Lentelty,Left-handed Scissors,4/15/2014,12.42
Posamne,Almond Milk,4/13/2014,7.94
BurntFear,Buzz Cola,1/24/2014,4.33
Fallstaciom,Devil Donut,1/7/2014,12.50
ApenguinInca,Bowling Ball,1/29/2014,10.35
Fernotele,Barley,2/12/2014,3.60
BugsSlayr,Pacifier,1/13/2014,6.25
HulkBlonde,Orange Punch,4/22/2014,9.85
NeoSing,Flower Bouquet,3/11/2014,11.56
Donaldenes,Slingshot,1/1/2014,11.80
Karield,Left-handed Scissors,3/8/2014,3.33
Grouptics,Hot Dog,1/29/2014,6.83
Chontron,Almond Milk,4/16/2014,12.20
Enzapper,Devil Donut,3/6/2014,12.42
Acme,Flower Bouquet,1/6/2014,3.75
Cyberione,Squishee,1/14/2014,7.87
Nioneenf,Pacifier,1/28/2014,4.19
Perfectione,Devil Donut,4/30/2014,8.91
DoggIntincr,Barley,2/19/2014,8.87
Jobbcoqu,Bowling Ball,1/24/2014,7.37
MinyOlympic,Left-handed Scissors,1/21/2014,10.38
GreyPlanet,Pacifier,4/28/2014,8.04
Rockeefl,Slingshot,3/27/2014,4.48
RatWitchHott,Almond Milk,1/2/2014,9.65
Earthamackb,Left-handed Scissors,2/15/2014,6.01
SnoWord,Devil Donut,2/24/2014,5.16
PeatearHiro,Squishee,2/15/2014,7.18
Nicenterge,Barley,3/6/2014,9.30
MyheroCurious,Almond Milk,2/17/2014,12.88
Seepanethor,Buzz Cola,1/21/2014,7.51
GrabsWillows,Krusty-Os,4/25/2014,9.76
NeoSing,Buzz Cola,1/12/2014,9.20
Clericmat,Almond Milk,1/27/2014,12.12
Chicatrisv,Pacifier,1/20/2014,9.00
Ennectur,Barley,3/28/2014,9.24
Audivinq,Bowling Ball,1/4/2014,10.43
Guantorona,Hot Dog,1/6/2014,9.98
RatWitchHott,Saxophone Reed,2/28/2014,8.78
Downpomsto,Buzz Cola,3/22/2014,3.17
Advenopy,Bowling Ball,3/21/2014,4.65
Bradeluxie,Squishee,2/10/2014,6.46
InvaderRoll,Barley,3/19/2014,11.37
Okcupercl,Barley,2/15/2014,5.04
IteTabloid,Buzz Cola,4/3/2014,8.55
BingCheerup,Pacifier,2/20/2014,7.05
IcyEye,Buzz Cola,4/28/2014,12.95
Elatake,Pacifier,3/20/2014,8.59
Nediumpm,Squishee,2/1/2014,5.08
Bridgec,Left-handed Scissors,2/8/2014,4.97
Lyndatage,Saxophone Reed,2/9/2014,3.31
BlogVod,Flower Bouquet,2/23/2014,8.60
Maxieldse,Krusty-Os,1/19/2014,12.88
KentrosBrood,Devil Donut,3/29/2014,8.21
ChonePitcher,Flower Bouquet,2/28/2014,6.55
Meadomark,Left-handed Scissors,1/8/2014,6.62
Sigands,Saxophone Reed,1/29/2014,5.91
InloveDiary,Flower Bouquet,3/4/2014,6.35
Pinchrine,Saxophone Reed,3/15/2014,7.01
Intellba,Almond Milk,3/8/2014,3.04
Intellba,Bowling Ball,4/1/2014,4.16
Goldencero,Orange Punch,2/8/2014,3.57
Bulletinte,Slingshot,1/5/2014,7.73
Maxieldse,Flower Bouquet,3/10/2014,12.49
CzarCandyPool,Almond Milk,2/24/2014,3.75
Eapperpl,Pacifier,1/9/2014,9.08
JungPeakTrimble,Snow Plow,4/9/2014,3.36
Saleurip,Saxophone Reed,2/12/2014,9.77
Eurinewh,Orange Punch,3/20/2014,4.02
GrabsWillows,Flower Bouquet,3/25/2014,4.39
Donaldenes,Almond Milk,4/11/2014,12.73
Hopebbield,Krusty-Os,1/31/2014,6.10
Greentgro,Left-handed Scissors,1/1/2014,4.97
HelloGrand,Buzz Cola,1/14/2014,7.72
Insideret,Krusty-Os,1/7/2014,9.97
Intincrol,Flower Bouquet,2/9/2014,10.08
Grinfous,Snow Plow,2/14/2014,6.43
Besteres,Orange Punch,4/2/2014,11.29
FantasticMessages,Flower Bouquet,2/7/2014,4.14
ChatSingFarer,Left-handed Scissors,4/18/2014,9.01
Gamedirsil,Hot Dog,1/25/2014,4.29
HellUpdate,Devil Donut,1/24/2014,8.35
Namedianon,Left-handed Scissors,2/9/2014,7.62
Crawlergy,Snow Plow,1/31/2014,7.66
Bizarrevces,Bowling Ball,3/15/2014,12.80
Docunche,Slingshot,1/12/2014,3.36
Acidyles,Pacifier,3/16/2014,8.77
Eurinewh,Pacifier,1/4/2014,12.66
Remedios,Barley,2/1/2014,8.63
Mesorock,Krusty-Os,4/4/2014,9.24
Ladynallik,Buzz Cola,2/20/2014,11.93
InvaderRoll,Flower Bouquet,3/26/2014,3.26
NewscastKenka,Buzz Cola,4/4/2014,3.24
Nanosill,Devil Donut,3/10/2014,3.58
ArsenalTalk,Saxophone Reed,4/22/2014,11.31
Poshytess,Slingshot,1/3/2014,7.93
FantasticMessages,Almond Milk,3/21/2014,7.82
Janionon,Saxophone Reed,3/1/2014,3.23
Cyberione,Saxophone Reed,1/8/2014,11.72
Blikitbec,Almond Milk,4/10/2014,7.43
ChiNotice,Pacifier,2/25/2014,12.96
HelpSweet,Saxophone Reed,4/9/2014,9.30
Grouptu,Saxophone Reed,4/24/2014,3.37
JunkyZest,Buzz Cola,1/24/2014,6.31
Acme,Slingshot,3/14/2014,12.95
MatterSimply,Slingshot,2/5/2014,12.22
Staressa,Barley,3/4/2014,9.66
Staressa,Krusty-Os,4/15/2014,3.14
Choicance,Bowling Ball,2/12/2014,6.38
Intendscr,Slingshot,1/10/2014,4.08
Bizarrestan,Almond Milk,4/10/2014,7.08
BrainyZollo,Krusty-Os,1/30/2014,12.01
Estarch,Krusty-Os,3/17/2014,8.79
HeavenNarrative,Buzz Cola,4/3/2014,3.88
ChiNotice,Buzz Cola,3/25/2014,6.52
Melchuran,Squishee,1/18/2014,7.61
AnnouncerKing,Almond Milk,3/14/2014,9.10
Bizarrestan,Snow Plow,2/14/2014,8.12
FunkyFreexRing,Squishee,3/28/2014,7.34
Crawlerra,Saxophone Reed,3/10/2014,12.23
Animorror,Almond Milk,3/8/2014,6.89
Lyndatage,Saxophone Reed,2/16/2014,8.15
Garnetter,Almond Milk,4/18/2014,10.00
MundeLogicLittle,Flower Bouquet,2/16/2014,10.38
Firectored,Saxophone Reed,4/17/2014,11.72
HeheBraceFizz,Hot Dog,1/21/2014,4.09
Kenkatani,Snow Plow,2/4/2014,12.96
Mettertbe,Hot Dog,2/7/2014,4.09
Mundelise,Almond Milk,4/15/2014,7.22
Bloodiell,Slingshot,4/15/2014,12.91
BugsSlayr,Squishee,4/27/2014,3.74
Poshytess,Squishee,1/6/2014,7.16
ChiNotice,Snow Plow,3/19/2014,3.50
Reenaca,Pacifier,2/9/2014,4.12
Bleck,Pacifier,4/30/2014,5.81
Angelstage,Pacifier,2/24/2014,12.85
Firstrous,Devil Donut,2/25/2014,5.68
Insideally,Squishee,4/11/2014,3.19
KiddoAnhart,Buzz Cola,2/28/2014,8.54
Manprope,Pacifier,3/26/2014,10.51
Goldenbrae,Snow Plow,3/30/2014,8.47
Bleck,Almond Milk,3/6/2014,12.79
BlueDev,Buzz Cola,3/2/2014,5.87
Recipecide,Snow Plow,3/22/2014,8.28
PartyGotInspiring,Almond Milk,3/7/2014,9.31
Cimballe,Slingshot,3/13/2014,3.52
Bishinve,Left-handed Scissors,4/14/2014,12.58
Enzapper,Orange Punch,3/20/2014,6.76
Mintaliers,Devil Donut,2/17/2014,11.17
Kenkately,Orange Punch,3/30/2014,8.38
Chiaritail,Pacifier,2/16/2014,4.06
Shualich,Bowling Ball,3/18/2014,12.79
Kenkatani,Hot Dog,1/10/2014,12.55
Noticeteat,Devil Donut,3/31/2014,9.26
Anhartzimm,Orange Punch,4/12/2014,7.24
MintBlogger,Barley,3/27/2014,8.16
PositiveSpider,Buzz Cola,3/21/2014,9.73
NipZero,Left-handed Scissors,4/11/2014,5.02
BrainyZollo,Devil Donut,2/24/2014,10.84
Famoustebl,Saxophone Reed,4/27/2014,8.67
Grouptu,Buzz Cola,1/22/2014,10.68
GossipNight,Snow Plow,1/5/2014,5.02
Prophecyst,Slingshot,3/20/2014,9.49
IteTabloid,Saxophone Reed,4/26/2014,9.74
Scarypticew,Barley,1/20/2014,11.98
BingNumero,Buzz Cola,4/22/2014,7.51
DayWishFear,Hot Dog,1/20/2014,9.22
CuriousStorm,Hot Dog,4/30/2014,3.44
Bozicalyste,Barley,3/9/2014,3.63
Hytermat,Buzz Cola,4/8/2014,7.47
Sheerlism,Saxophone Reed,3/21/2014,7.58
InloveDiary,Devil Donut,2/25/2014,12.61
KiddoAnhart,Devil Donut,4/28/2014,12.82
Faxionan,Saxophone Reed,1/26/2014,3.06
Hubersi,Flower Bouquet,3/28/2014,8.69
Clownerli,Left-handed Scissors,4/19/2014,3.34
Mudsalib,Buzz Cola,3/6/2014,10.04
CrazyNumBrace,Buzz Cola,1/25/2014,11.24
AnnouncerKing,Almond Milk,2/15/2014,11.92
NotePuff,Saxophone Reed,3/29/2014,5.21
Quintin,Bowling Ball,1/8/2014,7.68
Crawlergy,Almond Milk,1/7/2014,11.20
LilCrown2free,Saxophone Reed,4/30/2014,11.03
Euphartn,Orange Punch,1/14/2014,6.26
Insideret,Orange Punch,3/19/2014,6.45
Loverabbit,Slingshot,2/13/2014,5.39
Keeferr,Snow Plow,3/12/2014,10.06
GoldCrayon,Snow Plow,3/24/2014,6.06
Bleck,Snow Plow,3/15/2014,7.45
Bothybarosa,Slingshot,4/27/2014,3.38
LuvBleak,Bowling Ball,1/11/2014,12.60
NumeroTroik,Almond Milk,4/2/2014,5.87
Bradelextr,Buzz Cola,2/17/2014,11.61
Ineschic,Barley,1/14/2014,12.98
ShadesMoto,Pacifier,4/11/2014,5.32
Cognizant Technology Solutions,Hot Dog,1/13/2014,3.94
Puppygman,Barley,4/26/2014,11.95
Nediumpm,Krusty-Os,4/17/2014,5.12
Phiatechma,Pacifier,3/24/2014,9.93
FighterDiary,Flower Bouquet,2/15/2014,8.82
BoaFairy,Saxophone Reed,2/19/2014,4.03
MamaNice,Slingshot,3/6/2014,3.35
Diaryptor,Left-handed Scissors,1/10/2014,8.64
NozyGiga,Almond Milk,1/6/2014,12.85
GurlyJinPersonal,Snow Plow,1/31/2014,8.68
Crawlerra,Buzz Cola,2/19/2014,8.60
Caperlexe,Hot Dog,3/25/2014,10.99
Buddyella,Krusty-Os,3/25/2014,11.02
FantasticMessages,Squishee,4/15/2014,7.91
Saleurip,Flower Bouquet,1/21/2014,8.16
Blognasona,Barley,4/30/2014,7.46
Diaryptor,Pacifier,4/11/2014,4.14
Pedabrsel,Left-handed Scissors,1/19/2014,11.90
HomeySchool,Bowling Ball,2/11/2014,10.36
ActuallyGravity,Flower Bouquet,4/20/2014,7.92
BugsSlayr,Pacifier,1/26/2014,10.37
LogFly,Hot Dog,4/1/2014,3.69
ArsenalTalk,Devil Donut,3/10/2014,5.04
Gerystat,Flower Bouquet,3/19/2014,12.12
Pathours,Pacifier,4/5/2014,6.90
PurpleShoes,Almond Milk,1/30/2014,3.52
Dickader,Saxophone Reed,4/5/2014,3.33
Mundelise,Bowling Ball,1/6/2014,10.39
Nexawayim,Devil Donut,2/20/2014,7.50
IamBillHannah,Left-handed Scissors,4/30/2014,7.09
Medyneph,Saxophone Reed,4/19/2014,6.42
Greygramid,Flower Bouquet,3/21/2014,6.83
Crawlerra,Snow Plow,2/26/2014,8.17
Crownettele,Saxophone Reed,4/23/2014,12.88
Emidsient,Pacifier,3/3/2014,6.94
Nozyforbox,Buzz Cola,4/17/2014,4.06
BabyPro,Squishee,1/1/2014,9.49
SnoWord,Barley,1/10/2014,7.34
Mubarnet,Saxophone Reed,4/28/2014,6.79
Mediaux,Squishee,1/28/2014,10.42
Bizarrestan,Hot Dog,3/12/2014,12.35
Mithelle,Barley,1/22/2014,11.59
KaptainHerald,Flower Bouquet,2/1/2014,9.67
Crawlerra,Devil Donut,4/24/2014,7.67
PurpleShoes,Almond Milk,4/8/2014,3.17
Optionic,Devil Donut,4/23/2014,3.99
Nioneenf,Slingshot,3/28/2014,10.05
Citythr,Hot Dog,2/13/2014,11.83
Glamouroy,Devil Donut,4/22/2014,12.41
Finaldelu,Saxophone Reed,1/17/2014,11.73
RightBeZeether,Almond Milk,1/17/2014,5.92
Finaldelu,Pacifier,4/24/2014,10.35
DoubleTen,Barley,3/15/2014,5.48
LilCrown2free,Bowling Ball,2/15/2014,5.23
Forsyncer,Snow Plow,4/10/2014,5.76
Communique,Krusty-Os,1/30/2014,5.51
Grouptu,Buzz Cola,4/20/2014,5.33
Mudsalib,Saxophone Reed,1/10/2014,8.38
Bloodiell,Devil Donut,3/25/2014,11.32
HeheBraceFizz,Slingshot,2/3/2014,3.56
Ennectur,Bowling Ball,4/11/2014,8.87
Medyneph,Barley,3/12/2014,7.09
PurpleShoes,Pacifier,3/1/2014,4.26
Lineadyne,Bowling Ball,3/24/2014,10.90
Lyndatage,Barley,3/4/2014,9.81
ShadesMoto,Almond Milk,4/23/2014,12.94
CzarCandyPool,Flower Bouquet,3/18/2014,6.69
Enzapper,Hot Dog,3/20/2014,12.22
GinoWillows,Slingshot,4/13/2014,10.41
HelloGrand,Snow Plow,3/20/2014,3.13
Bryankpi,Flower Bouquet,2/22/2014,6.00
Latinament,Snow Plow,1/16/2014,6.07
Kalamicvi,Left-handed Scissors,1/23/2014,5.93
NotePuff,Barley,1/16/2014,6.89
Capenikk,Squishee,3/9/2014,9.62
BlondieYoga,Krusty-Os,3/28/2014,10.44
Hytermat,Almond Milk,4/4/2014,11.34
Arouset,Pacifier,2/4/2014,6.77
CheeseSunset,Hot Dog,3/7/2014,6.70
Enerpeop,Orange Punch,1/5/2014,10.44
Nepheworma,Almond Milk,3/14/2014,5.09
Hartlinkel,Slingshot,3/29/2014,5.31
Genusting,Hot Dog,4/26/2014,9.68
PartyGotInspiring,Buzz Cola,4/25/2014,12.20
Mesorock,Flower Bouquet,3/6/2014,11.33
Sheerlism,Almond Milk,4/14/2014,3.48
IteTabloid,Devil Donut,2/17/2014,4.23
Greygramid,Pacifier,1/29/2014,8.41
Lacegere,Pacifier,2/15/2014,10.92
Momjudebi,Snow Plow,4/8/2014,10.50
Pinchoint,Left-handed Scissors,2/14/2014,5.22
Givandre,Saxophone Reed,4/6/2014,3.39
Ripplayer,Barley,2/28/2014,3.39
Proudonnati,Saxophone Reed,3/25/2014,6.17
RonzUber,Flower Bouquet,1/26/2014,3.62
PurpleShoes,Almond Milk,4/20/2014,9.14
Enturis,Slingshot,1/18/2014,7.53
ListHaro,Saxophone Reed,4/5/2014,11.71
Garnetter,Flower Bouquet,3/4/2014,12.30
PartyBright,Buzz Cola,3/18/2014,10.38
Bedsoft,Bowling Ball,1/14/2014,12.12
2coolGarnett,Slingshot,3/10/2014,10.41
Hartlinkel,Flower Bouquet,2/3/2014,3.71
ChiriShabby,Bowling Ball,2/14/2014,8.58
Apenguinda,Barley,4/24/2014,10.99
Kalamicvi,Almond Milk,4/3/2014,3.52
Adsmanda,Devil Donut,3/17/2014,9.45
DudeCozy,Orange Punch,2/18/2014,5.13
Boostleysse,Saxophone Reed,1/7/2014,3.19
Gerrics,Squishee,3/8/2014,12.11
NotePuff,Saxophone Reed,4/24/2014,6.20
Pathbaud,Squishee,2/28/2014,9.88
Parkettsto,Krusty-Os,1/2/2014,10.48
Purplellis,Barley,3/29/2014,5.04
IcyEye,Hot Dog,1/13/2014,3.13
ChonePitcher,Almond Milk,4/18/2014,4.47
Anospeak,Squishee,4/19/2014,10.27
Mediantam,Buzz Cola,2/13/2014,11.33
Keeferr,Squishee,4/20/2014,7.07
Hanglober,Saxophone Reed,1/2/2014,11.57
Rainbower,Devil Donut,3/15/2014,7.38
Bloggerer,Squishee,2/26/2014,4.89
BurntFear,Devil Donut,1/19/2014,6.77
Pyranka,Orange Punch,1/26/2014,12.03
Greygramid,Left-handed Scissors,2/6/2014,7.79
Phianatune,Hot Dog,4/1/2014,11.68
Screenary,Orange Punch,4/11/2014,10.98
Pathours,Devil Donut,1/12/2014,8.05
EyesWaveWaka,Devil Donut,4/30/2014,11.50
Rocketonbi,Flower Bouquet,2/13/2014,3.63
Promsdeo,Squishee,4/9/2014,12.61
Ennectur,Orange Punch,2/12/2014,7.34
Daranter,Buzz Cola,2/8/2014,12.72
ChonePitcher,Bowling Ball,1/30/2014,5.77
DudeCozy,Hot Dog,4/16/2014,8.44
DressySweetie,Krusty-Os,4/14/2014,3.73
Givandre,Barley,4/29/2014,6.19
JungPeakTrimble,Krusty-Os,3/26/2014,11.54
Inaching,Almond Milk,3/19/2014,6.75
LuvBleak,Barley,3/14/2014,7.65
Carestl,Saxophone Reed,3/3/2014,5.02
Lacegere,Saxophone Reed,3/8/2014,8.23
Pathbaud,Snow Plow,1/13/2014,11.95
Bloggerer,Buzz Cola,4/4/2014,7.43
Saleurip,Hot Dog,3/13/2014,5.51
RazuKenka,Bowling Ball,4/15/2014,7.08
Bothybarosa,Snow Plow,4/20/2014,10.00
Clownerli,Pacifier,3/20/2014,11.36
Faxionan,Slingshot,2/18/2014,7.29
Audivinq,Barley,4/2/2014,4.66
FighterDiary,Flower Bouquet,2/5/2014,5.80
Communique,Almond Milk,3/18/2014,5.76
LordTinsTa,Devil Donut,2/12/2014,11.26
Seepanethor,Snow Plow,1/10/2014,8.68
NoticeSports,Squishee,1/17/2014,11.15
Intincrospr,Flower Bouquet,4/1/2014,7.34
Rainbower,Flower Bouquet,4/29/2014,5.17
Bradeluxie,Pacifier,3/16/2014,12.43
DoggIntincr,Pacifier,1/8/2014,9.83
Intincrol,Snow Plow,1/11/2014,9.95
Doblanepm,Pacifier,2/22/2014,7.60
Giancell,Almond Milk,2/28/2014,3.32
Legendehic,Krusty-Os,3/24/2014,7.23
RonzUber,Devil Donut,4/6/2014,12.14
DudeCozy,Squishee,1/23/2014,6.68
FreexCasual,Snow Plow,3/13/2014,4.02
Mubarnet,Barley,1/25/2014,8.69
Heaticel,Almond Milk,2/23/2014,12.81
Nioneenf,Flower Bouquet,2/20/2014,3.11
ArsenalTalk,Left-handed Scissors,2/16/2014,9.02
HeraldEye,Left-handed Scissors,2/28/2014,3.61
Japanos,Left-handed Scissors,4/1/2014,10.39
Citythr,Hot Dog,1/14/2014,10.47
AutLess,Flower Bouquet,1/28/2014,10.55
HellUpdate,Pacifier,4/5/2014,6.90
BleakKid,Pacifier,3/14/2014,8.69
Nicenterge,Squishee,2/14/2014,5.62
Sheerlism,Almond Milk,4/27/2014,4.44
Firectored,Krusty-Os,2/25/2014,6.58
ShowHead,Left-handed Scissors,2/25/2014,7.03
Okcupercl,Barley,1/23/2014,7.19
Medyneph,Buzz Cola,1/7/2014,11.32
Nepheworma,Almond Milk,3/12/2014,4.41
MonBoost,Slingshot,4/23/2014,12.98
Blikingas,Slingshot,1/15/2014,4.02
Jobbcoqu,Squishee,4/7/2014,9.96
Ollynden,Hot Dog,3/6/2014,3.85
Grouptics,Bowling Ball,4/6/2014,8.38
Logiclynn,Bowling Ball,1/8/2014,9.55
Precing,Snow Plow,2/23/2014,11.28
IcyEye,Snow Plow,2/1/2014,4.83
JournalKnot,Snow Plow,4/26/2014,5.16
Blikitbec,Squishee,3/6/2014,3.37
Perfectione,Orange Punch,2/4/2014,10.01
Heaticel,Bowling Ball,1/3/2014,3.58
Lyfernella,Hot Dog,1/12/2014,5.37
Clownerli,Barley,2/17/2014,12.65
Gambitches,Bowling Ball,4/12/2014,5.89
GossipNight,Squishee,2/17/2014,10.84
Proudonnati,Almond Milk,4/21/2014,4.98
MatterSimply,Barley,4/3/2014,9.63
Grundyneti,Squishee,3/20/2014,6.89
GloryPsychBuddy,Flower Bouquet,2/26/2014,12.29
Stargalta,Buzz Cola,1/26/2014,5.24
HeheBraceFizz,Flower Bouquet,1/2/2014,8.51
Funnynanome,Krusty-Os,3/2/2014,6.87
GloryPsychBuddy,Squishee,3/23/2014,6.32
JungPeakTrimble,Squishee,1/15/2014,12.39
Animorror,Bowling Ball,1/20/2014,5.28
Cuficel,Almond Milk,4/26/2014,9.12
Footballee,Buzz Cola,4/24/2014,4.37
Crownettele,Barley,3/17/2014,5.78
Arouset,Bowling Ball,3/28/2014,12.42
Chicatrisv,Left-handed Scissors,2/24/2014,4.69
Bauhand,Orange Punch,4/5/2014,5.69
FighterDiary,Left-handed Scissors,4/23/2014,12.22
BrainyZollo,Bowling Ball,4/5/2014,5.15
PodFang,Buzz Cola,1/9/2014,6.95
Footballee,Devil Donut,1/7/2014,12.14
Mettertbe,Buzz Cola,2/28/2014,3.33
Ionidexcros,Left-handed Scissors,1/9/2014,8.36
BulletinStar,Devil Donut,3/1/2014,9.21
NumeroTroik,Krusty-Os,1/13/2014,11.72
Mithelle,Squishee,4/2/2014,10.83
Ensererry,Barley,2/19/2014,7.83
Expeline,Bowling Ball,1/6/2014,11.21
RonzUber,Squishee,2/7/2014,9.52
PurpleShoes,Left-handed Scissors,3/21/2014,8.99
Finaldelu,Squishee,3/9/2014,4.65
Pinchrine,Left-handed Scissors,4/26/2014,5.12
OneHelp,Pacifier,1/28/2014,8.73
MinyOlympic,Pacifier,3/25/2014,8.10
EdgyStunna,Barley,4/19/2014,5.49
BauerCheese,Flower Bouquet,4/27/2014,3.26
FoxLipsx,Left-handed Scissors,1/3/2014,4.47
BlueDev,Krusty-Os,4/17/2014,6.32
HenryGhoul,Hot Dog,3/5/2014,8.87
Pariserlo,Left-handed Scissors,4/27/2014,7.66
Saiyanetho,Orange Punch,2/12/2014,12.60
Glamouroy,Left-handed Scissors,3/22/2014,5.57
Mowerpatste,Flower Bouquet,3/29/2014,12.54
Positiverc,Bowling Ball,1/6/2014,10.59
Propence,Krusty-Os,1/28/2014,11.90
PeatearHiro,Slingshot,3/20/2014,6.18
IanInspiring,Buzz Cola,3/14/2014,3.39
RatHunterCrescent,Flower Bouquet,1/28/2014,7.17
HelpSweet,Squishee,4/6/2014,8.15
Hubersi,Saxophone Reed,4/3/2014,8.38
Networker,Barley,2/5/2014,11.25
BlueDev,Almond Milk,4/9/2014,7.19
Global Media,Flower Bouquet,2/26/2014,4.15
NekoAngelic,Bowling Ball,4/11/2014,11.44
JournalKnot,Krusty-Os,2/25/2014,10.23
FantasyXoxox,Flower Bouquet,1/22/2014,7.18
DudeCakeGrabs,Barley,3/8/2014,4.04
FootballNot,Squishee,1/1/2014,12.53
AboutWise,Devil Donut,3/17/2014,4.66
Avanscran,Slingshot,1/6/2014,12.04
Pinchoint,Slingshot,2/7/2014,6.40
Bizarrestan,Hot Dog,1/24/2014,7.67
IcyEye,Saxophone Reed,1/6/2014,8.02
BabyPro,Pacifier,1/19/2014,10.03
PositiveSpider,Squishee,1/8/2014,10.17
Slayerptig,Saxophone Reed,1/19/2014,7.15
CleverSimple,Snow Plow,2/5/2014,8.71
HulkBlonde,Slingshot,4/11/2014,9.95
Acme,Flower Bouquet,1/6/2014,10.38
Networker,Barley,3/18/2014,10.08
PiercePeach,Saxophone Reed,3/28/2014,12.89
Poshytess,Krusty-Os,2/27/2014,12.28
Inaching,Bowling Ball,2/27/2014,11.89
Optionic,Saxophone Reed,4/30/2014,12.33
Collerer,Devil Donut,2/6/2014,5.27
Lyndatage,Buzz Cola,2/18/2014,9.91
GuyPhia,Almond Milk,3/12/2014,7.91
Recipecide,Barley,1/23/2014,10.00
Quintin,Pacifier,2/23/2014,6.94
LaxrWord,Devil Donut,1/31/2014,3.62
NoticeSports,Slingshot,3/17/2014,7.69
ArsenalKino,Krusty-Os,3/3/2014,6.75
Insideally,Devil Donut,3/31/2014,4.52
Positiverc,Krusty-Os,1/25/2014,12.36
Lukeythmed,Devil Donut,2/1/2014,5.89
Acidyles,Left-handed Scissors,2/5/2014,11.40
Finaldelu,Bowling Ball,3/12/2014,7.97
AboveRosa,Squishee,4/8/2014,5.67
FixEver,Bowling Ball,3/16/2014,6.38
Papertica,Buzz Cola,1/17/2014,3.96
Prestigeye,Devil Donut,4/6/2014,12.27
Mudsalib,Devil Donut,3/16/2014,4.05
MatterSimply,Slingshot,1/27/2014,4.94
Colictor,Almond Milk,1/11/2014,10.55
Bizarrevces,Pacifier,1/19/2014,11.95
CzarCandyPool,Almond Milk,4/6/2014,11.27
Parkettsto,Orange Punch,1/5/2014,10.45
Puppygman,Orange Punch,1/15/2014,3.17
AnnouncerKing,Pacifier,2/10/2014,8.63
GoldTarget,Left-handed Scissors,4/4/2014,11.44
Nanosill,Saxophone Reed,4/16/2014,8.40
